date,metric,BTC,ETH
2024-04-17,etf_net_flow_usd_millions,-165.0,0.0
2024-04-18,etf_cumulative_net_flow_usd_millions,12268.8,0.0
2024-04-18,etf_net_flow_usd_millions,-4.3,0.0
2024-04-19,etf_cumulative_net_flow_usd_millions,12328.5,0.0
2024-04-19,etf_net_flow_usd_millions,59.7,0.0
2024-04-20,etf_cumulative_net_flow_usd_millions,12328.5,0.0
2024-04-20,etf_net_flow_usd_millions,0.0,0.0
2024-04-21,etf_cumulative_net_flow_usd_millions,12328.5,0.0
2024-04-21,etf_net_flow_usd_millions,0.0,0.0
2024-04-22,etf_cumulative_net_flow_usd_millions,12390.7,0.0
2024-04-22,etf_net_flow_usd_millions,62.2,0.0
2024-04-23,etf_cumulative_net_flow_usd_millions,12422.3,0.0
2024-04-23,etf_net_flow_usd_millions,31.6,0.0
2024-04-24,etf_cumulative_net_flow_usd_millions,12301.7,0.0
2024-04-24,etf_net_flow_usd_millions,-120.6,0.0
2024-04-25,etf_cumulative_net_flow_usd_millions,12084.1,0.0
2024-04-25,etf_net_flow_usd_millions,-217.6,0.0
2024-04-26,etf_cumulative_net_flow_usd_millions,12000.5,0.0
2024-04-26,etf_net_flow_usd_millions,-83.6,0.0
2024-04-27,etf_cumulative_net_flow_usd_millions,12000.5,0.0
2024-04-27,etf_net_flow_usd_millions,0.0,0.0
2024-04-28,etf_cumulative_net_flow_usd_millions,12000.5,0.0
2024-04-28,etf_net_flow_usd_millions,0.0,0.0
2024-04-29,etf_cumulative_net_flow_usd_millions,11948.9,0.0
2024-04-29,etf_net_flow_usd_millions,-51.6,0.0
2024-04-30,etf_cumulative_net_flow_usd_millions,11787.3,0.0
2024-04-30,etf_net_flow_usd_millions,-161.6,0.0
2024-05-01,etf_cumulative_net_flow_usd_millions,11223.6,0.0
2024-05-01,etf_net_flow_usd_millions,-563.7,0.0
2024-05-02,etf_cumulative_net_flow_usd_millions,11189.2,0.0
2024-05-02,etf_net_flow_usd_millions,-34.4,0.0
2024-05-03,etf_cumulative_net_flow_usd_millions,11567.5,0.0
2024-05-03,etf_net_flow_usd_millions,378.3,0.0
2024-05-04,etf_cumulative_net_flow_usd_millions,11567.5,0.0
2024-05-04,etf_net_flow_usd_millions,0.0,0.0
2024-05-05,etf_cumulative_net_flow_usd_millions,11567.5,0.0
2024-05-05,etf_net_flow_usd_millions,0.0,0.0
2024-05-06,etf_cumulative_net_flow_usd_millions,11784.5,0.0
2024-05-06,etf_net_flow_usd_millions,217.0,0.0
2024-05-07,etf_cumulative_net_flow_usd_millions,11768.8,0.0
2024-05-07,etf_net_flow_usd_millions,-15.7,0.0
2024-05-08,etf_cumulative_net_flow_usd_millions,11780.3,0.0
2024-05-08,etf_net_flow_usd_millions,11.5,0.0
2024-05-09,etf_cumulative_net_flow_usd_millions,11769.0,0.0
2024-05-09,etf_net_flow_usd_millions,-11.3,0.0
2024-05-10,etf_cumulative_net_flow_usd_millions,11684.3,0.0
2024-05-10,etf_net_flow_usd_millions,-84.7,0.0
2024-05-11,etf_cumulative_net_flow_usd_millions,11684.3,0.0
2024-05-11,etf_net_flow_usd_millions,0.0,0.0
2024-05-12,etf_cumulative_net_flow_usd_millions,11684.3,0.0
2024-05-12,etf_net_flow_usd_millions,0.0,0.0
2024-05-13,etf_cumulative_net_flow_usd_millions,11750.3,0.0
2024-05-13,etf_net_flow_usd_millions,66.0,0.0
2024-05-14,etf_cumulative_net_flow_usd_millions,11850.8,0.0
2024-05-14,etf_net_flow_usd_millions,100.5,0.0
2024-05-15,etf_cumulative_net_flow_usd_millions,12153.8,0.0
2024-05-15,etf_net_flow_usd_millions,303.0,0.0
2024-05-16,etf_cumulative_net_flow_usd_millions,12411.1,0.0
2024-05-16,etf_net_flow_usd_millions,257.3,0.0
2024-05-17,etf_cumulative_net_flow_usd_millions,12632.6,0.0
2024-05-17,etf_net_flow_usd_millions,221.5,0.0
2024-05-18,etf_cumulative_net_flow_usd_millions,12632.6,0.0
2024-05-18,etf_net_flow_usd_millions,0.0,0.0
2024-05-19,etf_cumulative_net_flow_usd_millions,12632.6,0.0
2024-05-19,etf_net_flow_usd_millions,0.0,0.0
2024-05-20,etf_cumulative_net_flow_usd_millions,12869.8,0.0
2024-05-20,etf_net_flow_usd_millions,237.2,0.0
2024-05-21,etf_cumulative_net_flow_usd_millions,13175.5,0.0
2024-05-21,etf_net_flow_usd_millions,305.7,0.0
2024-05-22,etf_cumulative_net_flow_usd_millions,13329.5,0.0
2024-05-22,etf_net_flow_usd_millions,154.0,0.0
2024-05-23,etf_cumulative_net_flow_usd_millions,13437.4,0.0
2024-05-23,etf_net_flow_usd_millions,107.9,0.0
2024-05-24,etf_cumulative_net_flow_usd_millions,13689.3,0.0
2024-05-24,etf_net_flow_usd_millions,251.9,0.0
2024-05-25,etf_cumulative_net_flow_usd_millions,13689.3,0.0
2024-05-25,etf_net_flow_usd_millions,0.0,0.0
2024-05-26,etf_cumulative_net_flow_usd_millions,13689.3,0.0
2024-05-26,etf_net_flow_usd_millions,0.0,0.0
2024-05-27,etf_cumulative_net_flow_usd_millions,13689.3,0.0
2024-05-27,etf_net_flow_usd_millions,0.0,0.0
2024-05-28,etf_cumulative_net_flow_usd_millions,13734.3,0.0
2024-05-28,etf_net_flow_usd_millions,45.0,0.0
2024-05-29,etf_cumulative_net_flow_usd_millions,13762.6,0.0
2024-05-29,etf_net_flow_usd_millions,28.3,0.0
2024-05-30,etf_cumulative_net_flow_usd_millions,13811.4,0.0
2024-05-30,etf_net_flow_usd_millions,48.8,0.0
2024-05-31,etf_cumulative_net_flow_usd_millions,13860.2,0.0
2024-05-31,etf_net_flow_usd_millions,48.8,0.0
