date,metric,ETH,BTC,USDC
2014-04-16,price,,494.4000000000,
2014-04-17,price,,478.2312000000,
2014-04-18,price,,501.5515000000,
2014-04-19,price,,497.3177000000,
2014-04-20,price,,492.6733000000,
2014-04-21,price,,484.8533000000,
2014-04-22,price,,487.5250000000,
2014-04-23,price,,494.2733000000,
2014-04-24,price,,458.8067000000,
2014-04-25,price,,453.8000000000,
2014-04-26,price,,437.9216000000,
2014-04-27,price,,436.9200000000,
2014-04-28,price,,443.2700000000,
2014-04-29,price,,444.9968000000,
2014-04-30,price,,455.0913000000,
2014-05-01,price,,443.4734000000,
2014-05-02,price,,434.0333000000,
2014-05-03,price,,433.9432000000,
2014-05-04,price,,429.0761000000,
2014-05-05,price,,426.7634000000,
2014-05-06,price,,439.3000000000,
2014-05-07,price,,437.3633000000,
2014-05-08,price,,447.4933000000,
2014-05-09,price,,452.5050000000,
2014-05-10,price,,436.2833000000,
2014-05-11,price,,439.1900000000,
2014-05-12,price,,437.3050000000,
2014-05-13,price,,444.2467000000,
2014-05-14,price,,444.2500000000,
2014-05-15,price,,445.1650000000,
2014-05-16,price,,445.8533000000,
2014-05-17,price,,444.2133000000,
2014-05-18,price,,443.8700000000,
2014-05-19,price,,483.4167000000,
2014-05-20,price,,488.7717000000,
2014-05-21,price,,522.6083000000,
2014-05-22,price,,524.4750000000,
2014-05-23,price,,523.1083000000,
2014-05-24,price,,569.3767000000,
2014-05-25,price,,579.6217000000,
2014-05-26,price,,569.4750000000,
2014-05-27,price,,571.5533000000,
2014-05-28,price,,565.2600000000,
2014-05-29,price,,621.1467000000,
2014-05-30,price,,620.5000000000,
2014-05-31,price,,640.1617000000,
2014-06-01,price,,656.4100000000,
2014-06-02,price,,667.3683000000,
2014-06-03,price,,641.1833000000,
2014-06-04,price,,658.1000000000,
2014-06-05,price,,648.6300000000,
2014-06-06,price,,651.7083000000,
2014-06-07,price,,649.8983000000,
2014-06-08,price,,643.9050000000,
2014-06-09,price,,649.0567000000,
2014-06-10,price,,630.0367000000,
2014-06-11,price,,567.1750000000,
2014-06-12,price,,594.6833000000,
2014-06-13,price,,570.0033000000,
2014-06-14,price,,583.4100000000,
2014-06-15,price,,592.5200000000,
2014-06-16,price,,607.1583000000,
2014-06-17,price,,604.1900000000,
2014-06-18,price,,593.3883000000,
2014-06-19,price,,590.0550000000,
2014-06-20,price,,591.2567000000,
2014-06-21,price,,595.0367000000,
2014-06-22,price,,586.1483000000,
2014-06-23,price,,582.4150000000,
2014-06-24,price,,561.4717000000,
2014-06-25,price,,579.5867000000,
2014-06-26,price,,598.2367000000,
2014-06-27,price,,594.8717000000,
2014-06-28,price,,598.4883000000,
2014-06-29,price,,637.7550000000,
2014-06-30,price,,643.9350000000,
2014-07-01,price,,648.1075000000,
2014-07-02,price,,640.2838000000,
2014-07-03,price,,627.1288000000,
2014-07-04,price,,627.5813000000,
2014-07-05,price,,631.0025000000,
2014-07-06,price,,619.4950000000,
2014-07-07,price,,620.0475000000,
2014-07-08,price,,620.1600000000,
2014-07-09,price,,615.1275000000,
2014-07-10,price,,630.8350000000,
2014-07-11,price,,633.6389951680,
2014-07-12,price,,627.4623228190,
2014-07-13,price,,618.2050265060,
2014-07-14,price,,618.9525000000,
